snail_id	date	species	colour	Parasite	Movement	30	35	40	45	50	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135	140	145	150	155	160	165	170	175	180	185	190	195	200	205	210	215	220	225	230	235	240	245	250
GFP1	24/10/23	flat	dark	no	2	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	patterned	patterned	patterned	patterned	patterned	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark
GFP2	24/10/23	flat	dark	no	9	patterned	patterned	patterned	patterned 	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	dark	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	light	light	light	dark	patterned	dark	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light
GFP3	24/10/23	flat	light	no	25	dark	dark	dark	dark	dark	dark	dark	dark	patterned	light	dark	patterned	dark	patterned	dark	patterned	dark	dark	light	patterned	light	patterned	light	light	light	light	patterned	patterned	light	dark	dark	dark	dark	light	dark	dark	patterned	light	dark	dark	dark	light	dark	light	light
GFP4	24/10/23	flat	dark	no	0	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark
GFP5	24/10/23	flat	light	no	20	light	light	light	light	light	light	patterned	patterned	patterned	light	dark	light	light	light	light	light	patterned	light	light	light	patterned	dark	light	light	light	light	light	light	light	patterned	dark	dark	patterned 	dark	light	dark	patterned	light	light	light	patterned	light	patterned	patterned	patterned
GFP6	24/10/23	flat	light	no	19	light	light	light	light	light	light	light	light	light	light	light	light	light	light	dark	light	dark	dark	patterned	patterned	patterned	dark	light	light	light	light	dark	dark	dark	light	patterned 	light	dark	light	patterned	light	patterned	patterned	light	light	dark	dark	light	dark	dark
GFP7	24/10/23	flat	dark	no	18	light	light	light	light	light	light	light	light	light	dark	dark	dark	light	patterned	patterned	patterned	patterned	patterned	dark	patterned	light	dark	light	patterned	dark	dark	dark	dark	dark	light	patterned 	patterned	dark	patterned	light	light	light	light	light	light	dark	light	light	light	light
GFP8	24/10/23	flat	dark	no	8	patterned	patterned	patterned	patterned 	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	light	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned 	patterned	patterned 	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned
GFP9	24/10/23	flat	dark	no	26	patterned	patterned	dark	dark	patterned	patterned	dark	dark	dark	dark	light	dark	patterned	light	light	dark	patterned	patterned	dark	light	patterned	patterned	patterned	patterned	patterned	light	patterned	light	patterned	patterned	dark	patterned	dark	light	light	dark	dark	dark	patterned	dark	light	patterned	light	light	light
GFP10	24/10/23	flat	dark	no	15	patterned	patterned	patterned	patterned 	patterned	patterned	patterned	patterned	light	patterned	patterned	patterned	dark	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	dark	patterned	patterned	patterned	patterned 	patterned	light	patterned	patterned	patterned	light	patterned	patterned	patterned	dark	dark	dark	dark	dark
