snail_id	date	species	colour	beach_length	beach	weight	sh	sw	ssh	trematode_presence	egg_presence	parasite_collected	parasite_load	trematode_species	behaviour_study	microplastics
CFP1	20/10/23	flat	light	111	castle	0.66	6.6	11.5	0	no 	no	NA	NA	NA	yes	NA
CFP2	20/10/23	flat	light	111	castle	0.75	6.9	10.7	0	no 	no	NA	NA	NA	yes	NA
CFP3	20/10/23	flat	light	111	castle	0.85	4.1	7	0	no 	no	NA	NA	NA	yes	NA
CFP4	20/10/23	flat	dark	111	castle	0.49	6	10.4	0	no 	no	NA	NA	NA	yes	NA
CFP5	20/10/23	flat	dark	111	castle	0.87	7.3	12.1	0	no 	no	NA	NA	NA	yes	NA
CFP6	20/10/23	flat	light	111	castle	0.68	6.8	11.4	0	no 	no	NA	NA	NA	yes	NA
CFP7	20/10/23	flat	dark	111	castle	0.5	8.7	11.4	0	no 	no	NA	NA	NA	yes	NA
CFP8	20/10/23	flat	light	111	castle	0.34	5.5	9.2	0	no 	no	NA	NA	NA	yes	NA
CFP9	20/10/23	flat	dark	111	castle	0.43	5.9	10.1	0	no 	no	NA	NA	NA	yes	NA
CFP10	20/10/23	flat	dark	111	castle	0.77	7	12.2	0	no 	no	NA	NA	NA	yes	NA
CFP11	20/10/23	flat	dark	111	castle	0.37	5.3	9.2	0	no 	no	NA	NA	NA	yes	NA
CFP12	20/10/23	flat	light	111	castle	0.46	6.9	12.2	0	no 	no	NA	NA	NA	yes	NA
CFP13	20/10/23	flat	light	111	castle	0.36	5	9.1	0	no 	no	NA	NA	NA	yes	NA
CFP14	20/10/23	flat	dark	111	castle	0.44	5.2	9.1	0	no 	no	NA	NA	NA	yes	NA
CFP15	20/10/23	flat	dark	111	castle	0.44	5.9	9.8	0	no 	no	NA	NA	NA	yes	NA
CFP16	20/10/23	flat	light	111	castle	0.39	5.4	9.4	0	no 	no	NA	NA	NA	yes	NA
CFP17	20/10/23	flat	dark	111	castle	0.55	6.1	10.7	0	no 	no	NA	NA	NA	yes	NA
CFP18	20/10/23	flat	light	111	castle	0.43	5.8	9.1	0	no 	no	NA	NA	NA	yes	NA
CFP19	20/10/23	flat	light	111	castle	0.64	6.4	11.2	0	no 	no	NA	NA	NA	yes	NA
CFP20	20/10/23	flat	dark	111	castle	0.73	6.8	11.9	0	no 	no	NA	NA	NA	yes	NA
CFP21	20/10/23	flat	dark	111	castle	0.73	6.6	11.7	0	no 	no	NA	NA	NA	yes	NA
CFP22	20/10/23	flat	light	111	castle	0.63	6.3	11.1	0	no 	no	NA	NA	NA	yes	NA
CFP23	20/10/23	flat	light	111	castle	0.73	4.3	6.2	0	no 	no	NA	NA	NA	yes	NA
CFP24	20/10/23	flat	dark	111	castle	0.52	6.1	10.4	0	no 	no	NA	NA	NA	yes	NA
CFP25	20/10/23	flat	light	111	castle	0.3	5	8.5	0	no 	no	NA	NA	NA	yes	NA
CFP26	20/10/23	flat	light	111	castle	0.37	5.3	8.8	0	no 	no	NA	NA	NA	yes	NA
CFP27	20/10/23	flat	dark	111	castle	0.65	6.3	11	0	no 	no	NA	NA	NA	yes	NA
CFP28	20/10/23	flat	light	111	castle	0.47	5.6	9.6	0	no 	no	NA	NA	NA	yes	NA
CFP29	20/10/23	flat	dark	111	castle	0.76	6.8	11.6	0	no 	no	NA	NA	NA	yes	NA
CFP30	20/10/23	flat	light	111	castle	0.71	6.3	11.1	0	no 	no	NA	NA	NA	yes	NA
CFP31	20/10/23	flat	dark	111	castle	0.24	4.8	8	0	no 	no	NA	NA	NA	yes	NA
CFP32	20/10/23	flat	light	111	castle	0.53	6.2	10.5	0	no 	no	NA	NA	NA	yes	NA
CFP33	20/10/23	flat	dark	111	castle	0.55	6.5	9.9	0	no 	no	NA	NA	NA	yes	NA
CFP34	20/10/23	flat	light	111	castle	0.47	6.3	10	0	no 	no	NA	NA	NA	yes	NA
CFP35	20/10/23	flat	dark	111	castle	0.53	6	10.5	0	no 	no	NA	NA	NA	yes	NA
CFP36	20/10/23	flat	dark	111	castle	0.62	7	10.8	0	no 	no	NA	NA	NA	yes	NA
CFP37	20/10/23	flat	light	111	castle	0.73	7	11.6	0	no 	no	NA	NA	NA	yes	NA
CFP38	20/10/23	flat	light	111	castle	0.42	5.6	10	0	no 	no	NA	NA	NA	yes	NA
CFP39	20/10/23	flat	dark	111	castle	0.77	6.4	11.5	0	no 	no	NA	NA	NA	yes	NA
CFP40	20/10/23	flat	dark	111	castle	0.68	6.5	11.4	0	no 	no	NA	NA	NA	yes	NA
CFP41	20/10/23	flat	light	111	castle	0.49	6	9.9	0	no 	no	NA	NA	NA	yes	NA
CFP42	20/10/23	flat	light	111	castle	1.11	8	13.7	0	no 	no	NA	NA	NA	yes	NA
CFP43	20/10/23	flat	light	111	castle	0.53	6.3	10.3	0	no 	no	NA	NA	NA	yes	NA
CFP44	20/10/23	flat	dark	111	castle	0.26	4.7	8.1	0	no 	no	NA	NA	NA	yes	NA
CFP45	20/10/23	flat	dark	111	castle	0.56	6.3	9.8	0	no 	no	NA	NA	NA	yes	NA
CFP46	20/10/23	flat	dark	111	castle	0.62	6.6	11.7	0	no 	no	NA	NA	NA	yes	NA
CFP47	20/10/23	flat	light	111	castle	0.52	6.1	10.3	0	no 	no	NA	NA	NA	yes	NA
